text_lower,sbc001,sbc002,sbc003,sbc004,sbc005,sbc006,sbc007,sbc008,sbc009,sbc010,sbc011,sbc012,sbc013,sbc014,sbc015,sbc016,sbc017,sbc018,sbc019,sbc020,sbc021,sbc022,sbc023,sbc024,sbc025,sbc026,sbc027,sbc028,sbc029,sbc030,sbc031,sbc032,sbc033,sbc034,sbc035,sbc036,sbc037,sbc038,sbc039,sbc040,sbc041,sbc042,sbc043,sbc044,sbc045,sbc046,sbc047,sbc048,sbc049,sbc050,sbc051,sbc052,sbc053,sbc054,sbc055,sbc056,sbc057,sbc058,sbc059,sbc060,sd,vbar,D,U,Urank
if,19,15,21,14,11,12,21,21,18,24,8,22,21,24,6,17,26,23,11,7,13,20,8,22,35,18,17,18,48,11,17,12,9,14,23,13,1,6,29,13,29,17,25,30,10,15,34,12,12,10,24,15,18,6,13,28,19,13,23,8,8.3513759480692,17.483333333333334,0.9378118280340949,983.7646076077657,46
me,5,22,8,32,18,35,15,29,8,8,11,3,40,6,15,16,8,5,19,13,24,2,13,18,20,12,9,32,10,5,18,27,23,7,23,20,18,3,8,0,5,15,18,91,25,15,49,15,11,9,16,37,31,14,29,27,21,25,12,14,14.026719860911786,18.116666666666667,0.8992020211596027,977.4325970004883,47
right,18,32,61,12,7,13,9,25,30,29,12,27,18,12,18,90,20,7,8,7,18,8,15,26,2,7,8,23,48,1,19,48,18,4,21,20,11,28,21,4,17,9,2,25,7,16,33,11,15,15,27,2,11,11,7,17,24,11,11,3,15.043993865075503,17.983333333333334,0.8910902032569208,961.4863293142175,48
then,35,21,17,13,13,15,14,56,19,2,10,2,12,29,24,22,6,11,13,11,15,12,15,4,23,4,1,20,33,11,11,26,8,13,10,33,5,14,12,4,30,7,65,26,26,9,9,3,12,22,10,36,22,21,11,24,13,8,46,6,12.618645964948085,17.083333333333332,0.9038356423670736,926.4315334262504,49
out,38,16,14,27,13,23,23,12,7,3,17,3,29,15,14,7,9,1,13,13,27,20,11,11,2,11,14,18,20,13,8,22,1,12,20,18,10,26,39,19,6,8,46,29,28,12,20,3,20,13,12,29,21,3,1,58,15,6,28,12,11.193962759447032,16.483333333333334,0.9115876751539551,901.5602107272616,50
okay,6,3,20,3,1,10,0,121,18,19,0,15,15,27,1,136,1,14,11,0,4,16,8,29,1,4,21,12,51,1,18,18,4,14,20,16,11,26,65,4,20,11,11,8,17,17,10,34,0,9,10,14,37,1,1,44,40,33,8,3,24.67469712004793,18.2,0.8234960468768839,899.2576831895573,51
my,5,12,20,15,24,14,9,14,2,9,8,8,34,2,19,4,5,0,20,8,33,6,8,19,9,16,9,18,11,2,15,38,14,13,32,21,13,0,4,1,0,19,28,68,21,10,33,13,13,20,16,31,22,1,30,41,26,22,36,34,12.766437283124638,16.633333333333333,0.9000772404612234,898.2770859803009,52
are,12,39,26,17,13,21,2,14,5,18,9,26,38,4,12,11,22,1,16,26,12,3,22,15,7,37,25,27,29,9,17,20,12,8,20,23,15,16,18,9,12,9,24,20,9,7,9,14,17,10,20,4,6,8,13,12,9,17,19,10,8.589097674963098,15.416666666666666,0.927467766100884,857.9076836433177,53
had,20,13,12,17,11,30,10,11,0,6,9,9,12,17,14,11,10,4,10,7,22,12,31,2,8,2,3,14,10,17,38,32,2,3,22,19,6,16,11,30,8,8,30,26,22,10,20,4,40,11,27,31,21,15,14,47,2,4,27,38,10.943563492798127,15.633333333333333,0.9088658456262118,852.5161631973866,54
'm,14,23,9,16,15,26,11,12,14,32,12,10,32,13,18,11,3,2,21,5,21,6,7,29,1,20,18,29,17,4,10,18,15,11,24,19,9,1,8,1,4,25,24,26,24,14,22,11,6,13,29,14,19,2,10,22,47,16,14,6,9.302132068345898,15.25,0.9205879053260491,842.3379333733349,55
